Side,Pop_1948,Pop_1982,Pop_1993,Pop_2005,Pop_2006,Pop_2009,Pop_2014,Pop_2021,Pop_2024
Israel,1173000,3744608,5478734,6714124,6714124,7328445,8007778,8757489,9311652
Palestine,1764520,1604000,2411000,3508126,361198,3935249,4380000,5133000,5133000
