Side,Casualties_1948,Casualties_1982,Casualties_1993,Casualties_2005,Casualties_2006,Casualties_2009,Casualties_2014,Casualties_2021,Casualties_2024
Israel,543.3077579,17.4651125,11.93706429,9.740660137,9.740660137,8.924130562,8.167059576,0.185985999,15.94009413
Palestine,736.7442704,149.6259352,81.37702198,95.60660022,11.13203984,36.00788667,52.73972603,7.149814923,658.4258718
